"Timestamp","I understand that my participation is voluntary and that I am free to withdraw at any time, without giving a reason and without cost. I voluntarily agree to take part in this survey.","Would you consider yourself tech-literate (i.e. comfortable using technology and understanding technical terms such as IP address)?","Given the project context, what do you think an ""interaction"" would be? (If unsure just type ""unsure"")","Given the above symbols and the project context, what do you think the tick symbol represents?","Given the above symbols and the project context, what do you think the exclamation symbol represents?","The purpose of this page is clear","What do you think the scan button does?","It is clear what happens when the connect button is clicked without a selected device from the scan list","Any further comments on this page?","The purpose of this page is clear","Do you know what a device mac address is?","The total interactions, and interactions since connection are useful metrics","It is clear that the ""clear data"" button only clears data for the currently connected device","It is clear what the rename button does","It is clear what the export data button is doing","Any further comments on this page?","The purpose of this page is clear","What do you think the app does when changing settings while not connected to a device?","It is clear why some components on the page were initially hidden","Any further comments on this page?","The purpose of this graph is clear","Do you understand what changed in the graph when a different device was chosen?","If yes or maybe to the above question, what do you think changed?","What do you think the x-axis (left-right) represents in this graph?","What do you think the y-axis (bottom-top) represents in this graph?","The graph gave clear information on the interactions","Would this graph change how you interact with others?","Any further comments on this graph?","The purpose of these graphs are clear","The meaning of the categories in the duration graph are clear","The meaning of the categories in the distance graph are clear","The colours used for the categories are visually distinct","Would these graphs change how you interact with others?","Any further comments on these graphs?","The purpose of this graph is clear","What do you think the x-axis (left-right) represents?","What do you think the y-axis (bottom-top) represents?","What do you think the change in line colour means?(If it doesn't seem relevant put N/A)","Compare the two above images. Which do you prefer?","Compare the two above images. Which do you prefer?","Would this graph change the way you interact with others?","Any further comments on this graph?","What do you think the above video is showing?","Now given this second video, what do you think the device is doing?","Give the above image, what do you think the number represents?","If seeing this number increase what would you assume?","If seeing this number decrease what would you assume?","Given a device like this would you be comfortable using it within a workplace / learning environment?","Are there any improvements or changes you would like to see on the app?","Are there any improvements or changes you would like to see on the device?"
"2021/01/28 5:57:02 PM GMT","Yes","Yes","an interaction would be two people standing too close to each other and it being logged on your device and then you could see the results when you look at it","yes or good","warning or stop","3","you are scanning your wearable device to connect to your phone","5","","4","Yes","5","5","5","5","","5","its setting up where you currently are i.e. outdoors or indoors and how far away you would prefer to be from people","2","","5","Yes","it changed the order of the days - it originally started on tuesday and when it changed it started on monday.
i think it changed because a different device was used and this other device had more interactions","days of the week","number of interactions in that particular day","5","Yes","","5","5","5","5","Yes","","5","date","number of interactions","when you are in the blue section you are having minimal interactions
red means a dangerous amount of interactions","B","B","Yes","","the display lighting up ","as one device gets closer to the other, it lights up to alert the user to the fact that they are too close","total interactions with device in 24hr","interacted with another person","not sure - new day maybe","Yes","no the app seems to work very well, maybe a more interactive design - you could tap on the graphs to find out more about that piece of info","audio - it beeps. this could be turned on or off given the scenario"
"2021/01/28 6:11:38 PM GMT","Yes","Yes","close proximity to another person","confirmation action","error occurred","4","scans for available devices","3","I don't understand what a sticker is unless it's just the device name ","4","Yes","4","3","5","5","","3","changes the settings for when you connect to a device next time ","4","","5","Yes","the number of interactions increased","the days ","the number of interactions","5","Unsure","","4","4","5","5","Unsure","","5","time ","number of interactions","when the number of interactions is excessive","B","A","Unsure","","each time a interaction occurs","when an interaction occurs then the device lights up ","the number of interactions","you are having more interactions with someone else who has the device","the number of interactions is resetting?","Yes","a night mode perhaps. A way to select where the data is exported","nope"
"2021/01/28 8:40:24 PM GMT","Yes","No","If you come into contact with someone/talk to someone ","That you are socially distanced enough from people ","That you are too close to someone/ breaching social distancing rules ","3","Scans for new devices to connect to","4","","4","No","4","3","5","5","","5","Doesn’t store the info","3","","4","No","","The days of week","Number of interactions ","5","Yes","","5","5","5","4","Yes","","4","Time interval ","Number of interactions ","Red is bad (too many)","A","A","Yes","","The tracking device ","Detecting when another device is within a certain distance ","The distance ","That the distance is increasing ","That the distance is decreasing ","Yes","Maybe some instructions before you start to use it what different buttons do","Could maybe also buzz when someone is within certain distance  "
"2021/01/29 12:48:29 PM GMT","Yes","No","When one person is in close proximity to another","Tick means you are socially distanced","You are not socially distanced","4","Scans for local devices","4","No","4","No","5","5","5","5","No","5","Changes it for when it does next connect","4","No","5","Yes","The amount of daily interactions","The days of the week","The amount of interactions you had","5","Yes","No","5","5","5","5","Yes","No","5","Time passed","Amount of interactions ","The increase in interactions and the threat of this","B","A","Yes","No","Charging of device","Detecting a breach in social distancing","The charge percentage?","The charge is going up ","The charge is going down","Yes","No","No"
"2021/01/29 2:41:32 PM GMT","Yes","Yes","Coming within transmissible distance of another individual in regards to COVID-19","Safe","Warning","5","Locates any nearby devices with which the app can interact with","4","","5","Yes","5","5","5","5","","5","It stores the settings then applies those settings to the next device it connects with","5","","5","Yes","The interaction data being displayed, corresponding to two different devices","Days of the week","Number of daily interactions","5","Yes","","5","5","5","5","Yes","","5","Dates","Interactions","Blue indicates what is considered a safe number of interactions (generally lower) whilst red indicates a risky number of interactions (generally higher)","B","A","Yes","","The image flashes when an interaction occurs","Same as before, video indicates when two devices are close enough to trigger a and count a single interaction","Number of daily interactions","I've interacted with somebody","The number of people I've interacted with has decreased in the last 24 hours","Yes","Number of people within interaction range at one time","The signalling method for an interaction could be more clear, perhaps shows a text message if possible?"
"2021/01/29 4:07:12 PM GMT","Yes","Yes","2 devices coming with <X range of each other. ","you are safe (social distancing). ","you are not socially distant.","4","show allow devices the the phone can currently connect to ","2","If the connect button does not do anything without a selected device. Disable the button, show a toast notification, or make the scan button shake. ","4","Yes","5","5","4","5","From the first watch it was not clear that the ""Device Info"" was referencing the external device and not the phone. However re-watching the video did clear this up.","3","nothing?","5","Hiding the button suggests the setting are auto-applying. Disabling the settings button or telling the user that they need to be connected for these setting to apply would be nice.","5","Maybe","The number of interaction that specific device had is displayed. No clue why the dates changed.","The days on the week.","The number of interaction.","4","Unsure","","5","4","4","4","Unsure","","3","the days between 2 dates.","not sure.","the users interactions have trended towards dangerous levels.","B","Both are the same","Yes","""Comparison of line gradients"" B would be preferred but its ugly and less vibrant. ","Don't know.","Indicating that another device is in range.","The total number of interactions.","Someone is near me. ","Don't know.","Yes","Give user feedback. Even if nothing happens, tell the user why nothing happened.","labelling?"
"2021/01/29 7:43:14 PM GMT","Yes","No","Meeting with someone - perhaps within social distancing boundaries
","yes","danger, within 2 m social distance limit","2","Scans to see if other people are within 2m distance. ","2","Not very clear for me how it connects","2","No","2","2","2","2","The video was unclear for me","3","Not sure","2","Clearer, but still confusing for me","3","Yes","The new device was able to pick up more interactions","Days","Number of interactions","4","Yes","Clear graphics and easy to understand","4","4","4","3","Yes","You could use green for over 2m and less than 5 minutes, then different shades orange and red for closer distances and longer time intervals as then could see at a glance how many interactions are more risky.","3","days and dates","interactions","red closer interactions and greater number of them","B","B","Yes","The colours are good and red is good to use as a 'be aware' colour.","the device on a mobile phone?","Showing a signal when it is closer to the other device","12  interactions?","More interactions","less interactions","Yes","make it easy to set up ","Use of colour helps as people always understand red danger, risk etc"
"2021/01/30 2:49:35 PM GMT","Yes","No","Physical contact or an exchange of information","You are presumed to be at a safe distance and following social distancing","You are not at a safe distance and are  not social distancing","5","Checks of there is a compatible external device to connect your phone too","5","None","4","No","3","2","5","2","None","4","updates the settings the next time a device is connected","5","","5","Yes","how many interactions were recorded on different days","days of the week/time","how many times two app users came into contact","5","Unsure","None","5","5","5","5","Yes","none","5","Time/days","the number of interactions that day","the app user is having too many interactions","A","B","Yes","none","the bars fill up the closer 2 devices get","the bars fill up the closer 2 devices get","distance to another device","your moving father away from another app user","your moving closer to another app user","Yes","an option to see a more detailed breakdown of the apps buttons","the device could beep when two devices are getting close"
"2021/01/31 11:21:34 PM GMT","Yes","Yes","utilising technology to carry out tasks, have social interaction and access the web.","verified, correct, valid, available","error or issue needs to be researched","5","scan for devices","3","could include an animation of the spinny arrow spinning when searching for devices","5","Unsure","4","4","5","5","","5","changes the distance setting so when it is connected to a device the settings are ready to go","3","","4","Yes","certain devices were taken out the house so more interactions were made","time/days","number of interactions with selected device","5","Unsure","","5","4","4","5","Unsure","need a metric scale if u know what i mean (needs to be said as minutes (they could mean 2-3 bananas for all we know))

nvm just seen it ignore this, still got slightly confused though, better layout?","3","time/date","no. of interactions","when red, too much interaction","B","B","Yes","","the device and how it is able to be very small and easy stored anywhere in the brai-body, in the body or in clothing","detecting when in range of another","12 interactions or possible 12 cm away from another","either interactions are up or people are further away","somebodys coming for you, or nobody likes you","Yes","n/a","n/a"
"2021/02/21 10:57:57 PM GMT","Yes","Yes","two people talking in person","social distancing maintained","social distancing not maintained
","4","scans a sticker?","4","","5","Yes","4","4","4","4","","4","changes settings that dont pertain to a device","4","","5","Yes","","days","number of interactions","5","Yes","","5","5","5","5","Yes","","4","time","unsure","more time?","A","A","Unsure","","the wearable device that detects distance","detecting distance","distance","device getting further away","device getting closer","Yes","",""
"2021/02/22 1:46:06 AM GMT","Yes","Yes","the two devices detecting the distance from each other","both devices ""see"" each other","no device is detected ","2","see what device is detectable ","2","more feedback is needed after each action","4","Yes","3","4","5","3","","3","it just change its profile and wait for the next connect?","3","","5","Yes","number of interaction with a different device","previous days","number of interaction","5","No","","5","5","5","5","Yes","","2","previous days","interaction time","you interact with a same device for a lot of times","B","A","Unsure","","blue light on screen = connected
nothing = no device detected","blue light on screen = device detected
nothing = no device detected","number of ""interaction""?","number of interaction increased","I will think my assumption is wrong","No","sorry to bring this up at a late stage - number of ""interaction"" actually sounds a bit weird, because you need to define what is ""interaction"" before using it, and ""interaction"" sounds a bit too general? so maybe ""detected this device for n times""? but this is in my opinion only","the ""device"" version looks a bit too brief and the users (us) have no idea how can we use it. Leaving it like this is fine but you have to teach us before we use it :)"
"2021/02/22 8:49:10 AM GMT","Yes","No","people meeting up","things are good","there's a problem","3","looks for other people to connect to","1","","3","No","4","1","5","1","","4","unsure","4","","4","Maybe","the people that you had been near","days","people","4","Yes","","3","2","2","5","Unsure","","3","times when you were near people","how many people you were near","red is bad, too many people","A","A","Yes","","unsure, maybe not near people but looking for people?","light up when near someone","how many people you are near","more people came near you","some people went away","Yes","no","no"
"2021/02/22 8:59:09 AM GMT","Yes","Yes","When the device alerts the user","When the device is connected","When the device is not connected","5","Scans for nearby devices to connect to","3","No","5","Yes","4","2","5","5","Would be good to know where the data is exporting to","5","Saves the settings","5","No","5","Yes","The dataset, it comes from a different device","Days","""Interactions""","5","Yes","No, clear design","4","4","4","5","No","Don't find pie charts all that impactful","4","Time in days","""Interactions""","When your interactions are getting dangerous, if you're in the red zone you need to step back.","A","A","Yes","No","The device scanning for other devices","The device finding other devices","How many interactions the devices has had since power on","Another interaction","A bug / problem","Yes","No","No"
"2021/02/22 3:35:13 PM GMT","Yes","Yes","one device coming into contact distance with another device and activing ","confirmation ","warning ","5","scans for a device to connect ","5","","5","Yes","5","5","5","5","","5","keeps a note of the settings and updates the device when it reconnects to it ","3","","5","Yes","the number of interactions that device has had as it will change for each device ","days in the week ","number of interactions with a seprate device ","5","Yes","Good clean data and clearly shows how many people you are intracting with and if too many can adjust accordingly but people could become obsessive over this data ","5","5","5","5","Unsure","","5","date - the day ","the number of intractions ","the colour changes serves as a warning that you are coming into contact with alot of people so the chance for infection is higher ","B","A","Yes","","coming into contact distance with another device and activing ","same as first ansewer ","number of intractions in a day ","the number of intreactions are increasing ","reset for new day ","Yes","no ","casing for the device but understand that would not happen in this stage of design "
